input;ip;name;groupDataset;groupTarget
SRR1163549;SRR1163551;H3K18ac_mE5046_N2_L3_maleherm_AB1191;3;2
SRR1163550;SRR1163552;H3K18ac_mE5046_N2_L3_maleherm_AB1191;3;2
SRR947582;SRR947584;H3K9acS10_mE5988_N2_L3_maleherm_ab12181;5;12
SRR947583;SRR947585;H3K9acS10_mE5988_N2_L3_maleherm_ab12181;5;12
SRR1198506;SRR1198508;H4K8ac_mE6002_N2_L3_maleherm_ab15823;7;16
SRR1198507;SRR1198509;H4K8ac_mE6002_N2_L3_maleherm_ab15823;7;16
SRR1163521;SRR1163523;H3K79me3_mE5032_N2_L3_maleherm_AB2621;10;10
SRR1163522;SRR1163524;H3K79me3_mE5032_N2_L3_maleherm_AB2621;10;10
SRR1163553;SRR1163555;H3K79me2_mE5047_N2_L3_maleherm_AB3594;14;9
SRR1163554;SRR1163556;H3K79me2_mE5047_N2_L3_maleherm_AB3594;14;9
SRR1265830;SRR1265832;H3K4me1_mE5048_N2_L3_maleherm_ab8895;20;8
SRR1265831;SRR1265833;H3K4me1_mE5048_N2_L3_maleherm_ab8895;20;8
SRR1265826;SRR1265828;H3K9me1_mE5036_N2_L3_maleherm_ab8896;23;13
SRR1265827;SRR1265829;H3K9me1_mE5036_N2_L3_maleherm_ab8896;23;13
SRR1163525;SRR1163527;H3K9me3_mE5037_N2_L3_maleherm_AB8898;25;15
SRR1163526;SRR1163528;H3K9me3_mE5037_N2_L3_maleherm_AB8898;25;15
SRR1163557;SRR1163559;H3K36me1_mE5049_N2_L3_maleherm_ab9048;27;6
SRR1163558;SRR1163560;H3K36me1_mE5049_N2_L3_maleherm_ab9048;27;6
SRR1265810;SRR1265812;H3_mE3564_N2_L3_maleherm_AR0144;32;1
SRR1265811;SRR1265813;H3_mE3564_N2_L3_maleherm_AR0144;32;1
SRR1163561;SRR1163563;H3K9me2_mE5050_N2_L3_maleherm_HK00008;37;14
SRR1163562;SRR1163564;H3K9me2_mE5050_N2_L3_maleherm_HK00008;37;14
SRR1163529;SRR1163531;H3K9me3_mE5040_N2_L3_maleherm_HK00009;39;15
SRR1163530;SRR1163532;H3K9me3_mE5040_N2_L3_maleherm_HK00009;39;15
SRR1163533;SRR1163535;H3K36me2_mE5041_N2_L3_maleherm_HK00012;41;7
SRR1163534;SRR1163536;H3K36me2_mE5041_N2_L3_maleherm_HK00012;41;7
SRR1163537;SRR1163539;H3K36ac_mE5043_N2_L3_maleherm_NB211254;47;5
SRR1163538;SRR1163540;H3K36ac_mE5043_N2_L3_maleherm_NB211254;47;5
SRR1163541;SRR1163543;H3K27me1_mE5044_N2_L3_maleherm_UP07448;55;3
SRR1163542;SRR1163544;H3K27me1_mE5044_N2_L3_maleherm_UP07448;55;3
SRR1163545;SRR1163547;H3K27me3_mE5045_N2_L3_maleherm_UP07449;56;4
SRR1163546;SRR1163548;H3K27me3_mE5045_N2_L3_maleherm_UP07449;56;4
SRR1265814;SRR1265816;H3K9ac_mE3578_N2_L3_maleherm_WA30932379;65;11
SRR1265815;SRR1265817;H3K9ac_mE3578_N2_L3_maleherm_WA30932379;65;11
