"order","DCC.id","Name","developmental.stage","antibody","target","strain","temperature","GEO"
"1","modENCODE_3562","seq-AB1791 H3 N2 L3","L3 Larval Stage","AB1791_H3","H3","N2","20 degree celsius","GSM706161;GSM706165;GSM706166;GSM712543;GSM712544"
"2","modENCODE_3563","seq-AB9050 H3K36me3 N2 L3","L3 Larval Stage","AB9050_H3K36ME3","H3K36ME3","N2","20 degree celsius","GSM706166;GSM779422;GSM779423;GSM779424"
"3","modENCODE_3565","seq-BH00001 LIN52 N2 L3","L3 Larval Stage","BH00001_LIN52","lin-52","N2","20 degree celsius","GSM706161;GSM706164;GSM712709;GSM712710"
"4","modENCODE_3930","seq-BH00001 LIN52 N2 LTemb","Late Embryos:JL:1","BH00001_LIN52","lin-52","N2","20 degree celsius","GSM830460;GSM830461"
"5","modENCODE_3566","seq-BH00003 LIN37 N2 L3","L3 Larval Stage","BH00003_LIN37","lin-37","N2","20 degree celsius","GSM706161;GSM706164;GSM712711;GSM712712"
"6","modENCODE_3928","seq-BH00003 LIN37 N2 LTemb","Late Embryos:JL:1","BH00003_LIN37","lin-37","N2","20 degree celsius","GSM830458;GSM830460"
"7","modENCODE_3567","seq-BH00004 LIN54 N2 L3","L3 Larval Stage","BH00004-LIN54","lin-54","N2","20 degree celsius","GSM706161;GSM706164;GSM712713;GSM712714"
"8","modENCODE_3932","seq-BH00004 LIN54 N2 LTemb","Late Embryos:JL:1","BH00004-LIN54","lin-54","N2","20 degree celsius","GSM830458;GSM830459"
"9","modENCODE_3568","seq-BH00005 LIN9 N2 L3","L3 Larval Stage","BH00005-LIN9","lin-9","N2","20 degree celsius","GSM706161;GSM706164;GSM712810;GSM712811"
"10","modENCODE_3924","seq-BH00005 LIN9 N2 LTemb","Late Embryos:JL:1","BH00005-LIN9","lin-9","N2","20 degree celsius","GSM830458;GSM830459"
"11","modENCODE_3570","seq-JA00011 LIN35 N2 L3","L3 Larval Stage","JA00011-LIN35","lin-35","N2","20 degree celsius","GSM706161;GSM706164;GSM713136;GSM713137"
"12","modENCODE_3925","seq-JA00011 LIN35 N2 LTemb","Late Embryos:JL:1","JA00011-LIN35","lin-35","N2","20 degree celsius","GSM830458;GSM830459"
"13","modENCODE_3571","seq-JL00001 DPY27 N2 L3","L3 Larval Stage","JL00001_DPY27","dpy-27","N2","20 degree celsius","GSM706165;GSM706166;GSM779439;GSM779440"
"14","modENCODE_3572","seq-LPAR109 H4tetraac 109 N2 L3","L3 Larval Stage","LPAR109_H4tetraac:109","H4tetraac","N2","20 degree celsius","GSM706164;GSM706167;GSM713143;GSM713144"
"15","modENCODE_3573","seq-SDQ0820 EPC1 N2 L3 EGS","L3 Larval Stage","SDQ0820-EPC1","epc-1","N2","20 degree celsius","GSM713232;GSM713233;GSM713234;GSM713235"
"16","modENCODE_3577","seq-SDQ3590 EFL1 N2 L3","L3 Larval Stage","SDQ3590-EFL1","efl-1","N2","20 degree celsius","GSM706161;GSM706164;GSM713147;GSM713148"
"17","modENCODE_3934","seq-SDQ3590 EFL1 N2 LTemb","Late Embryos:JL:1","SDQ3590-EFL1","efl-1","N2","20 degree celsius","GSM830460;GSM830461"
"18","modENCODE_3575","seq-SDQ3599 DPL1 N2 L3","L3 Larval Stage","SDQ3599-DPL1","dpl-1","N2","20 degree celsius","GSM706161;GSM706164;GSM713149;GSM713150"
"19","modENCODE_3935","seq-SDQ3599 DPL1 N2 LTemb","Late Embryos:JL:1","SDQ3599-DPL1","dpl-1","N2","20 degree celsius","GSM830458;GSM830460"
"20","modENCODE_3579","seq-SDQ4470 TAG315 N2 MXemb","Mixed Stage Embryos","SDQ4470_TAG315","TAG315","N2","20 degree celsius","GSM706160;GSM713170;GSM713171"
"21","modENCODE_3580","seq-SDQ4526 SFC1 N2 MXemb","Mixed Stage Embryos","SDQ4526_SFC1","SFC-1","N2","20 degree celsius","GSM706160;GSM713172;GSM713173"
"22","modENCODE_3581","seq-SDQ4663 RPC1 N2 MXemb","Mixed Stage Embryos","SDQ4663_RPC1","RPC-1","N2","20 degree celsius","GSM706160;GSM713174;GSM713175"
"23","modENCODE_3576","seq-WA30534819 H3K4me3 N2 L3","L3 Larval Stage","WA305-34819 H3K4me3","H3K4me3","N2","20 degree celsius","GSM706164;GSM706167;GSM713168;GSM713169"
